inventory_key,board_id,pin_index,crop_stem,thumb,catalog_cost,source_folder,board_image
PAGE_002-0,PAGE_002,0,img002_pin01,thumbs/inventory/PAGE_002-0.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-1,PAGE_002,1,img002_pin02,thumbs/inventory/PAGE_002-1.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-2,PAGE_002,2,img002_pin03,thumbs/inventory/PAGE_002-2.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-3,PAGE_002,3,img002_pin04,thumbs/inventory/PAGE_002-3.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-4,PAGE_002,4,img002_pin05,thumbs/inventory/PAGE_002-4.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-5,PAGE_002,5,img002_pin06,thumbs/inventory/PAGE_002-5.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-6,PAGE_002,6,img002_pin07,thumbs/inventory/PAGE_002-6.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-7,PAGE_002,7,img002_pin08,thumbs/inventory/PAGE_002-7.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-8,PAGE_002,8,img002_pin09,thumbs/inventory/PAGE_002-8.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-9,PAGE_002,9,img002_pin10,thumbs/inventory/PAGE_002-9.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-10,PAGE_002,10,img002_pin11,thumbs/inventory/PAGE_002-10.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-11,PAGE_002,11,img002_pin12,thumbs/inventory/PAGE_002-11.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_002-12,PAGE_002,12,img002_pin13,thumbs/inventory/PAGE_002-12.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_002.JPG
PAGE_003-0,PAGE_003,0,img003_pin01,thumbs/inventory/PAGE_003-0.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_003.JPG
PAGE_003-1,PAGE_003,1,img003_pin02,thumbs/inventory/PAGE_003-1.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_003.JPG
PAGE_003-2,PAGE_003,2,img003_pin03,thumbs/inventory/PAGE_003-2.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_003.JPG
PAGE_003-3,PAGE_003,3,img003_pin04,thumbs/inventory/PAGE_003-3.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_003.JPG
PAGE_003-4,PAGE_003,4,img003_pin05,thumbs/inventory/PAGE_003-4.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_003.JPG
PAGE_004-0,PAGE_004,0,img004_pin01,thumbs/inventory/PAGE_004-0.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_004-1,PAGE_004,1,img004_pin02,thumbs/inventory/PAGE_004-1.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_004-2,PAGE_004,2,img004_pin03,thumbs/inventory/PAGE_004-2.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_004-3,PAGE_004,3,img004_pin04,thumbs/inventory/PAGE_004-3.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_004-4,PAGE_004,4,img004_pin05,thumbs/inventory/PAGE_004-4.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_004-5,PAGE_004,5,img004_pin06,thumbs/inventory/PAGE_004-5.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_004-6,PAGE_004,6,img004_pin07,thumbs/inventory/PAGE_004-6.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_004-7,PAGE_004,7,img004_pin08,thumbs/inventory/PAGE_004-7.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_004-8,PAGE_004,8,img004_pin09,thumbs/inventory/PAGE_004-8.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_004-9,PAGE_004,9,img004_pin10,thumbs/inventory/PAGE_004-9.jpg,34.95,2026A2Z/boards,2026A2Z/boards/PAGE_004.JPG
PAGE_005-0,PAGE_005,0,img005_pin01,thumbs/inventory/PAGE_005-0.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_005-1,PAGE_005,1,img005_pin02,thumbs/inventory/PAGE_005-1.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_005-2,PAGE_005,2,img005_pin03,thumbs/inventory/PAGE_005-2.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_005-3,PAGE_005,3,img005_pin04,thumbs/inventory/PAGE_005-3.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_005-4,PAGE_005,4,img005_pin05,thumbs/inventory/PAGE_005-4.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_005-5,PAGE_005,5,img005_pin06,thumbs/inventory/PAGE_005-5.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_005-6,PAGE_005,6,img005_pin07,thumbs/inventory/PAGE_005-6.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_005-7,PAGE_005,7,img005_pin08,thumbs/inventory/PAGE_005-7.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_005-8,PAGE_005,8,img005_pin09,thumbs/inventory/PAGE_005-8.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_005-9,PAGE_005,9,img005_pin10,thumbs/inventory/PAGE_005-9.jpg,52.95,2026A2Z/boards,2026A2Z/boards/PAGE_005.JPG
PAGE_006-0,PAGE_006,0,img006_pin01,thumbs/inventory/PAGE_006-0.jpg,45.95,2026A2Z/boards,2026A2Z/boards/PAGE_006.JPG
PAGE_006-1,PAGE_006,1,img006_pin02,thumbs/inventory/PAGE_006-1.jpg,45.95,2026A2Z/boards,2026A2Z/boards/PAGE_006.JPG
PAGE_006-2,PAGE_006,2,img006_pin03,thumbs/inventory/PAGE_006-2.jpg,45.95,2026A2Z/boards,2026A2Z/boards/PAGE_006.JPG
PAGE_006-3,PAGE_006,3,img006_pin04,thumbs/inventory/PAGE_006-3.jpg,45.95,2026A2Z/boards,2026A2Z/boards/PAGE_006.JPG
PAGE_006-4,PAGE_006,4,img006_pin05,thumbs/inventory/PAGE_006-4.jpg,45.95,2026A2Z/boards,2026A2Z/boards/PAGE_006.JPG
PAGE_006-5,PAGE_006,5,img006_pin06,thumbs/inventory/PAGE_006-5.jpg,45.95,2026A2Z/boards,2026A2Z/boards/PAGE_006.JPG
PAGE_006-6,PAGE_006,6,img006_pin07,thumbs/inventory/PAGE_006-6.jpg,45.95,2026A2Z/boards,2026A2Z/boards/PAGE_006.JPG
PAGE_006-7,PAGE_006,7,img006_pin08,thumbs/inventory/PAGE_006-7.jpg,45.95,2026A2Z/boards,2026A2Z/boards/PAGE_006.JPG
PAGE_006-8,PAGE_006,8,img006_pin09,thumbs/inventory/PAGE_006-8.jpg,45.95,2026A2Z/boards,2026A2Z/boards/PAGE_006.JPG
PAGE_007-0,PAGE_007,0,img007_pin01,thumbs/inventory/PAGE_007-0.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-1,PAGE_007,1,img007_pin02,thumbs/inventory/PAGE_007-1.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-2,PAGE_007,2,img007_pin03,thumbs/inventory/PAGE_007-2.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-3,PAGE_007,3,img007_pin04,thumbs/inventory/PAGE_007-3.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-4,PAGE_007,4,img007_pin05,thumbs/inventory/PAGE_007-4.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-5,PAGE_007,5,img007_pin06,thumbs/inventory/PAGE_007-5.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-6,PAGE_007,6,img007_pin07,thumbs/inventory/PAGE_007-6.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-7,PAGE_007,7,img007_pin08,thumbs/inventory/PAGE_007-7.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-8,PAGE_007,8,img007_pin09,thumbs/inventory/PAGE_007-8.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-9,PAGE_007,9,img007_pin10,thumbs/inventory/PAGE_007-9.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-10,PAGE_007,10,img007_pin11,thumbs/inventory/PAGE_007-10.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-11,PAGE_007,11,img007_pin12,thumbs/inventory/PAGE_007-11.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-12,PAGE_007,12,img007_pin13,thumbs/inventory/PAGE_007-12.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-13,PAGE_007,13,img007_pin14,thumbs/inventory/PAGE_007-13.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-14,PAGE_007,14,img007_pin15,thumbs/inventory/PAGE_007-14.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-15,PAGE_007,15,img007_pin16,thumbs/inventory/PAGE_007-15.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-16,PAGE_007,16,img007_pin17,thumbs/inventory/PAGE_007-16.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-17,PAGE_007,17,img007_pin18,thumbs/inventory/PAGE_007-17.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-18,PAGE_007,18,img007_pin19,thumbs/inventory/PAGE_007-18.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-19,PAGE_007,19,img007_pin20,thumbs/inventory/PAGE_007-19.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-20,PAGE_007,20,img007_pin21,thumbs/inventory/PAGE_007-20.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
PAGE_007-21,PAGE_007,21,img007_pin22,thumbs/inventory/PAGE_007-21.jpg,,2026A2Z/boards,2026A2Z/boards/PAGE_007.JPG
